no,name,apt_id,lon,lat,dist,url
3347,초원유치원,1165010201,127.0485906,37.47597862,711.721412,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000848
3740,양재천사유치원,1165010202,127.0311724,37.47435143,103.7739574,
3791,석문유치원,1165010849,127.0183925,37.49200276,982.1549441,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
3823,양재천사유치원,1165010203,127.0311724,37.47435143,420.7532054,
3824,석문유치원,1165010805,127.0183925,37.49200276,931.0844553,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
3840,석문유치원,1165010803,127.0183925,37.49200276,894.5358649,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
3871,석문유치원,1165010816,127.0183925,37.49200276,865.3303467,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
3872,양재천사유치원,1165010302,127.0311724,37.47435143,374.303485,
3925,석문유치원,1165010845,127.0183925,37.49200276,791.4741938,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
3963,석문유치원,1165010843,127.0183925,37.49200276,708.048901,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
3972,석문유치원,1165010813,127.0183925,37.49200276,744.4247647,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
3973,석문유치원,1165010815,127.0183925,37.49200276,716.7807577,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
3976,양재천사유치원,1165010313,127.0311724,37.47435143,569.9550846,
4008,석문유치원,1165010809,127.0183925,37.49200276,607.1827385,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4009,석문유치원,1165010804,127.0183925,37.49200276,851.4377006,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4014,서초유치원,1165010303,127.0162145,37.4560926,843.2650024,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005917
4015,석문유치원,1165010814,127.0183925,37.49200276,939.3107274,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4051,석문유치원,1165010841,127.0183925,37.49200276,861.462079,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4052,석문유치원,1165010842,127.0183925,37.49200276,518.6917709,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4084,양재천사유치원,1165010304,127.0311724,37.47435143,753.1061879,
4107,서초유치원,1165010310,127.0162145,37.4560926,876.199491,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005917
4113,양재천사유치원,1165010301,127.0311724,37.47435143,745.1701815,
4114,석문유치원,1165010830,127.0183925,37.49200276,819.3116834,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
