no,apt_id,way_no,dist,x,y
5973,1165010824,68,490.0432631,127.0200017,37.48164634
5974,1165010824,99,850.6001432,127.021457,37.47717744
5975,1165010824,128,1656.461995,127.0331722,37.4725887
5976,1165010132,45,103.0406284,126.9995963,37.48739471
5977,1165010132,99,1294.610367,127.0058754,37.47592547
5978,1165010132,68,1324.664238,127.0053655,37.47526684
5979,1165010722,45,314.880099,126.9976278,37.49325324
5980,1165010722,119,345.8536369,126.9950188,37.4992124
5981,1165010722,106,1305.768745,126.993995,37.50871175
5982,1165010136,45,589.9547294,126.9976384,37.48347096
5983,1165010136,99,1132.914854,126.9866045,37.47355467
5984,1165010136,100,1247.903653,126.9818035,37.47623832
5985,1165010127,119,738.1889829,126.9881826,37.49869713
5986,1165010127,21,787.2702687,126.9825548,37.49561563
5987,1165010127,86,800.8601141,126.9824778,37.49574496
5988,1165010832,99,316.1440998,127.0077849,37.47666098
5989,1165010832,68,331.5686381,127.007551,37.47647092
5990,1165010832,45,667.3989104,127.0028473,37.48471103
5991,1165010834,45,472.8103216,127.0023412,37.49323665
5992,1165010834,68,1181.233931,127.0162506,37.48472578
5993,1165010834,119,1245.861897,127.0011285,37.50161229
5994,1165010856,45,764.7601362,127.009918,37.49871926
5995,1165010856,68,789.0917923,127.0162506,37.48472578
5996,1165010856,99,1313.815413,127.0162057,37.47929553
5997,1165010649,106,491.0806482,127.0106073,37.52089755
5998,1165010649,131,1310.247158,127.0090527,37.52928436
5999,1165010649,45,1619.689892,127.0064332,37.50295204
6000,1165010705,106,451.419944,126.9924945,37.50837419
6001,1165010705,119,485.3124373,126.9922636,37.49945021
6002,1165010705,45,934.3400175,127.0027237,37.50236857
6003,1165010629,106,729.7402186,127.0070937,37.51773721
6004,1165010629,45,1042.585691,127.0064332,37.50295204
6005,1165010629,119,1352.435617,127.0023835,37.50211998
6006,1165010624,45,1023.401074,127.0064332,37.50295204
6007,1165010624,106,1108.62818,127.0070937,37.51773721
6008,1165010624,119,1406.015032,127.0023835,37.50211998
6009,1165010114,119,101.7300636,126.9878653,37.49866298
6010,1165010114,21,585.2380082,126.9825548,37.49561563
6011,1165010114,86,588.093035,126.9824778,37.49574496
6012,1165010115,21,471.6254257,126.9825548,37.49561563
6013,1165010115,86,486.8353272,126.9824778,37.49574496
6014,1165010115,119,734.6895488,126.9867742,37.49869099
6015,1165010842,68,906.4521555,127.0162506,37.48472578
6016,1165010842,99,1335.380325,127.0172426,37.47904369
6017,1165010842,45,1481.328163,127.009918,37.49871926
6018,1165010650,106,439.9111455,127.001017,37.51295286
6019,1165010650,45,650.57251,127.0027237,37.50236857
6020,1165010650,119,674.3400387,127.0023835,37.50211998
6021,1165010859,68,401.1936542,127.0162506,37.48472578
6022,1165010859,99,901.0973713,127.0162057,37.47929553
6023,1165010859,45,1159.225593,127.0028473,37.48471103
6024,1165010723,119,74.88699674,126.9927441,37.4993074
6025,1165010723,45,746.0555614,126.9976278,37.49325324
6026,1165010723,106,969.6588615,126.9896434,37.50774772
