route_id,route_name,route_type
DGB100000400,급행4,급행
DGB100000500,급행5,급행
DGB100000600,급행6,급행
DGB100000700,급행7,급행
DGB100000800,급행8,급행
DGB200000200,순환2,순환
DGB200000210,순환2-1,순환
DGB200000300,순환3,순환
DGB200000310,순환3-1,순환
DGB300010100,101[파계사방면],간선
DGB300010110,101-1[파계사방면],간선
DGB300015600,156,간선
DGB300020400,204,간선
DGB300023400,234,간선
DGB300024000,240,간선
DGB300030000,300,간선
DGB300030400,304,간선
DGB300030600,306,간선
DGB300030900,309,간선
DGB300032300,323,간선
DGB300032310,323-1,간선
DGB300034900,349,간선
DGB300035600,356,간선
DGB300040100,401,간선
DGB300040107,"401[능성동맞춤노선(평일,오전)]",간선
DGB300040300,403,간선
DGB300040500,405,간선
DGB300041000,410,간선
DGB300041010,410-1,간선
DGB300041300,413,간선
DGB300042500,425,간선
DGB300044900,449,간선
DGB300050300,503,간선
DGB300050900,509[영남대방면],간선
DGB300051800,518,간선
DGB300051810,518-1,간선
DGB300052300,523[원대오거리방면],간선
DGB300052400,524,간선
DGB300052700,527,간선
DGB300056400,564,간선
DGB300060000,600[달성2차산단-앞산공원],간선
ICB161000002,6777,공항
ICB161000004,M6450,광역
ICB161000005,82,간선
ICB161000006,93,간선
ICB161000007,58,간선
ICB161000008,급행99,급행
ICB161000011,급행97,급행
ICB161000012,77,간선
ICB161000013,20A,간선
ICB161100001,무의1,마을
ICB163000001,순환51,지선
ICB164000001,98,간선
ICB164000002,525,지선
ICB165000001,1,간선
ICB165000002,2,간선
ICB165000004,4,간선
ICB165000006,5-1,간선
ICB165000007,6,간선
ICB165000008,6-1,간선
ICB165000012,8,간선
ICB165000013,10,간선
ICB165000014,11,간선
ICB165000015,12,간선
ICB165000016,13,간선
ICB165000017,14,간선
ICB165000018,14-1,간선
ICB165000019,15,간선
ICB165000020,16,간선
ICB165000022,20,간선
ICB165000023,21,간선
ICB165000025,22,간선
ICB165000026,23,간선
ICB165000027,24,간선
ICB165000028,24-1,간선
ICB165000029,27,간선
ICB165000030,28,간선
ICB165000031,30,간선
ICB165000032,33,간선
ICB165000033,34,간선
ICB165000034,35,간선
ICB165000035,36,간선
ICB165000036,37,간선
ICB165000037,38,간선
ICB165000039,42,간선
ICB165000041,45,간선
ICB165000042,46,간선
ICB165000043,62,간선
ICB165000045,65,간선
ICB165000046,65-1,간선
ICB165000048,67-1,간선
ICB165000050,76,간선
ICB165000052,78,간선
ICB165000053,79,간선
ICB165000054,80,간선
ICB165000055,87,간선
ICB165000056,103,간선
ICB165000057,111,좌석
ICB165000058,112,간선
ICB165000059,202,간선
ICB165000060,203,간선
ICB165000062,222,간선
ICB165000063,223,간선
ICB165000064,300,간선
ICB165000067,302,좌석
ICB165000068,306,좌석
ICB165000070,308,좌석
ICB165000071,506,지선
ICB165000072,510,지선
ICB165000073,511,지선
ICB165000074,512,지선
ICB165000076,514-1,지선
ICB165000077,515,지선
ICB165000078,516,지선
ICB165000079,517,지선
ICB165000080,518,지선
ICB165000081,519,지선
ICB165000082,520,지선
ICB165000083,521,지선
ICB165000084,522,지선
ICB165000085,523,지선
ICB165000086,531,지선
ICB165000088,533,마을
ICB165000089,534,마을
ICB165000090,535,지선
ICB165000092,536,지선
ICB165000093,537,지선
ICB165000094,538,지선
ICB165000095,539,지선
ICB165000096,540,지선
ICB165000097,551,지선
ICB165000101,555,지선
ICB165000102,556,지선
ICB165000103,557,지선
ICB165000104,558,지선
ICB165000106,560,지선
ICB165000107,561,지선
ICB165000110,564,지선
ICB165000111,564-1,지선
ICB165000112,565,지선
ICB165000113,566,지선
ICB165000114,567,지선
ICB165000116,569,지선
ICB165000117,570,지선
ICB165000118,571,지선
ICB165000119,574,지선
ICB165000120,579,지선
ICB165000121,581,지선
ICB165000122,582,지선
ICB165000123,583,지선
ICB165000124,584,지선
ICB165000125,585,지선
ICB165000126,586,지선
ICB165000127,587,지선
ICB165000128,588,지선
ICB165000129,590,지선
ICB165000130,591,지선
ICB165000132,592,지선
ICB165000133,593,지선
ICB165000145,1000,광역
ICB165000146,1100,광역
ICB165000147,1101,광역
ICB165000148,1200,광역
ICB165000149,1300,광역
ICB165000150,1301,광역
ICB165000151,1400,광역
ICB165000152,1500,광역
ICB165000154,1601,광역
ICB165000160,9100,광역
ICB165000161,9200,광역
ICB165000162,9300,광역
ICB165000163,9500,광역
ICB165000164,9501,광역
ICB165000165,700-1,간선
ICB165000180,111-2,간선
ICB165000196,28-1,간선
ICB165000201,16-1,간선
ICB165000215,M6405,광역
ICB165000216,103-1,간선
ICB165000219,303,좌석
ICB165000230,70,간선
ICB165000238,2-1,간선
ICB165000240,66,간선
ICB165000243,515-1,지선
ICB165000245,9201,광역
ICB165000249,3(강화),지선
ICB165000250,4(강화),지선
ICB165000251,10(강화),지선
ICB165000252,11(강화),지선
ICB165000253,12(강화),순환
ICB165000254,13(강화),순환
ICB165000255,14(강화),순환
ICB165000256,15(강화),순환
ICB165000258,17(강화),순환
ICB165000259,20(강화),순환
ICB165000260,21(강화),순환
ICB165000261,22(강화),순환
ICB165000262,23(강화),순환
ICB165000263,24(강화),순환
ICB165000264,25(강화),순환
ICB165000265,26(강화),순환
ICB165000266,27(강화),순환
ICB165000267,30(강화),순환
ICB165000269,32(강화),순환
ICB165000270,33(강화),순환
ICB165000271,34(강화),순환
ICB165000274,37(강화),순환
ICB165000276,40(강화),순환
ICB165000277,41(강화),순환
ICB165000278,42(강화),순환
ICB165000280,44(강화),순환
ICB165000281,45(강화),순환
ICB165000284,48(강화),순환
ICB165000285,50(강화),순환
ICB165000286,51(강화),순환
ICB165000287,52(강화),순환
ICB165000288,53(강화),지선
ICB165000289,54(강화),순환
ICB165000290,55(강화),순환
ICB165000292,57(강화),순환
ICB165000303,9802,광역
ICB165000306,43(강화),순환
ICB165000310,3-2,간선
ICB165000313,800,좌석
ICB165000315,222(A),간선
ICB165000318,222(B),간선
ICB165000324,595,지선
ICB165000325,계양1번,순환
ICB165000326,계양2번,순환
ICB165000328,72,간선
ICB165000330,530,지선
ICB165000334,9,간선
ICB165000343,307,좌석
ICB165000346,17-1,간선
ICB165000350,303-1,좌석
ICB165000364,8A,간선
ICB165000377,7700,광역
ICB165000378,564-2,지선
ICB165000379,5,간선
ICB165000381,M6724,광역
ICB165000382,526,지선
