join_key,area_use,deal_type,contract_ym,price
1165004440003,84.8,deal,202103,149900
1165004440003,84.83,deal,202107,152000
1165004440003,84.86,deal,201910,135500
1165004440003,84.95,deal,202007,129000
1165004440003,84.97,deal,202008,140000
1165004490001,116.71,deal,202107,140000
1165004490002,104.36,deal,202006,95000
1165004590001,84.97,deal,202010,130000
1165004730001,59.27,deal,202009,118000
1165004730001,59.53,deal,202012,126000
1165004730001,84.87,deal,202109,205000
1165004740009,95.79,deal,201909,84000
1165004770007,56.32,deal,202012,80000
1165004770007,81.43,deal,202101,94500
1165004770007,84.08,deal,201912,81500
1165004780008,92.55,deal,202001,82000
1165004790011,87.51,deal,202002,89500
1165004790011,100.43,deal,201912,92000
1165004790011,113.67,deal,201907,96000
1165004810011,84.31,deal,202102,120000
1165004810011,84.71,deal,202006,94000
1165004820004,244.84,deal,202107,229250
1165004830001,70.02,deal,202206,187000
1165004830001,84.93,deal,202206,77970
1165004830001,101.83,deal,202206,92560
1165004840002,74.87,deal,202102,147000
1165004840002,108.98,deal,202007,140000
1165004840005,74.87,deal,202103,152000
1165004840006,74.87,deal,201910,94000
1165004850003,102.93,deal,202205,205000
1165004850003,103.34,deal,202110,194000
1165004850003,134.36,deal,202101,194000
1165004850003,134.96,deal,202101,200000
1165004860004,74.87,deal,201909,93500
1165004860004,117.26,deal,202006,139500
1165004860008,74.87,deal,201909,93000
1165004860008,117.26,deal,202006,140000
1165004880002,114.46,deal,202006,83500
1165004880002,115.36,deal,201912,78000
1165004880002,116.46,deal,202006,85000
1165005370009,82.71,deal,202011,172000
1165005500027,115.94,deal,201907,115000
1165005500027,123.08,deal,202206,165000
1165005500034,131.87,deal,202012,149500
1165005500034,134.21,deal,202102,145000
1165005510000,75.99,deal,202006,50000
1165005510000,76.92,deal,202109,99000
1165005510000,77.28,deal,202103,52000
1165005510042,181.55,deal,202010,185000
1165005510067,144.24,deal,202007,199000
1165005620001,84.55,deal,202109,170000
1165005620001,84.67,deal,202108,157000
1165005620001,84.76,deal,202102,149000
1165005680000,59.93,deal,202110,137000
1165005680000,59.96,deal,202012,128000
1165005680000,84.34,deal,202104,161000
1165005680000,84.39,deal,202109,203500
1165005680000,84.61,deal,202006,148500
1165005680000,114.39,deal,202010,165000
1165005680000,114.81,deal,202105,180000
1165005770003,80.84,deal,202007,79000
1165005770004,80.84,deal,202006,72000
1165005770005,60.58,deal,202108,65000
1165005770005,75.17,deal,202012,79000
1165005770035,112.9,deal,202206,90000
1165005770047,148.91,deal,202102,80000
1165005930019,244.98,deal,202203,115000
1165005930024,163.48,deal,202101,165000
1165005930032,175.36,deal,202205,200000
1165005930032,209.31,deal,202102,190000
1165005930045,103.76,deal,201911,73000
1165005930045,121.62,deal,201907,70500
1165006120002,243.97,deal,202106,270000
1165006120002,244.15,deal,202202,360000
1165006120031,240.03,deal,202205,430000
1165006120031,241.96,deal,202103,250000
1165006120032,244.75,deal,201908,209500
1165006120033,207.07,deal,201912,159000
1165006120049,215.06,deal,202106,245000
1165006120115,246.01,deal,202204,398000
1165006120115,252.48,deal,202009,430000
1165006120115,255.4,deal,202011,270000
1165006120138,83.89,deal,201912,57000
1165006150000,59.81,deal,202104,144000
1165006150000,59.92,deal,202003,122500
1165006150000,59.94,deal,202012,128000
1165006150000,74.9,deal,202008,150000
1165006150000,84.33,deal,201907,128000
1165006150000,84.6,deal,202007,148000
1165006190000,59.93,deal,202111,155000
1165006190000,59.98,deal,202104,148333
1165006190000,84.79,deal,202011,148500
1165006900000,59.93,deal,202006,120000
1165006900000,84.39,deal,202012,161500
1165006900000,84.4,deal,202107,184000
1165006900000,84.41,deal,202106,185000
1165006900000,84.51,deal,202007,141000
1165006900000,84.81,deal,202012,165000
1165006900000,84.84,deal,202008,160000
1165006900000,101.35,deal,202204,210000
1165006900000,101.99,deal,201910,149500
1165006900000,114.81,deal,202108,200000
1165007010001,115.43,deal,202110,185000
1165007010004,95.38,deal,202108,120000
1165007010031,57.57,deal,202007,50000
1165007010031,59.12,deal,202010,50000
1165007010059,78.6,deal,202106,110000
1165007020001,102.09,deal,202009,130000
1165007020001,102.1,deal,202103,170000
1165007070000,84.78,deal,202102,159000
1165007070000,84.82,deal,202206,170000
1165007070000,114.71,deal,202205,194000
1165007120000,59.99,deal,202008,120000
1165007120019,71.88,deal,202010,119000
1165007120019,84.63,deal,202008,140000
1165007120019,84.74,deal,202005,114000
1165007130001,84.12,deal,201911,110000
1165007130001,108.5,deal,202005,126000
1165007170000,84.61,deal,202107,168800
1165007170000,84.77,deal,202106,174500
1165007170000,84.84,deal,202203,172000
1165007170000,114.79,deal,202109,199000
1165007200000,84.61,deal,202111,180000
1165007200000,84.77,deal,201911,128000
1165007200000,84.84,deal,202109,174500
1165007250000,105.04,deal,202107,240000
1165007250000,164.55,deal,202106,298500
1165007250000,164.97,deal,202103,280000
1165007250000,185.46,deal,202106,290000
1165007260016,84.81,deal,202204,91000
1165007260016,84.97,deal,202002,69000
1165007260016,99.1,deal,201911,73500
1165007280007,100.41,deal,202103,97500
1165007330000,255.17,deal,202205,223000
1165007340000,224.38,deal,201912,370000
1165007350000,59.99,deal,202109,146000
1165007350000,84.77,deal,202007,132000
1165007370000,59.99,deal,202101,134000
1165007370000,84.77,deal,202102,155000
1165007370000,114.95,deal,202112,184000
1165007370000,114.98,deal,202106,181000
1165007410005,64.23,deal,201912,64200
1165007410005,86,deal,202102,88000
1165007410005,90.11,deal,201911,65000
1165007420010,74.37,deal,202011,59200
1165007520036,84.74,deal,202007,154000
1165007520036,124.56,deal,202107,230000
1165007520036,149.22,deal,202201,250000
1165007530000,101.01,deal,202102,179000
1165007530000,101.04,deal,202010,163000
1165007530000,101.05,deal,202101,170000
1165007530000,118.01,deal,202107,200000
1165007530000,118.04,deal,202012,189000
1165007530000,118.13,deal,202108,226000
1165007530000,134.02,deal,202109,240000
1165007540001,95.66,deal,202110,185000
1165007540001,103.7,deal,202105,172000
1165007540001,124.27,deal,202012,179000
1165007540001,148.9,deal,202005,149500
1165007540001,168.81,deal,202104,177500
1165007540001,169.08,deal,202106,210000
1165007540001,174.89,deal,202104,190000
1165007550014,116.86,deal,202006,139500
