no,name,apt_id,lon,lat,dist,url
6069,서초구청어린이집,1165010835,127.0313912,37.48640351,265.9311186,
6075,서초장미어린이집,1165010803,127.0284303,37.48418339,679.06178,
6076,푸르니작은어린이집,1165010803,127.0211995,37.48821043,667.9469853,
6077,푸르니서초어린이집,1165010803,127.0237949,37.4874097,510.4274055,
6078,서초아이자람어린이집,1165010803,127.0222237,37.48900777,554.6923791,
6079,자연의아이들어린이집,1165010803,127.0271257,37.4865758,426.0036484,
6080,서초구청어린이집,1165010803,127.0313912,37.48640351,512.4683222,
6123,햇살담는어린이집,1165010302,127.0245798,37.47243223,269.9999579,
6124,함께크는어린이집,1165010302,127.0267229,37.47333318,122.3335952,
6207,서초장미어린이집,1165010801,127.0284303,37.48418339,177.5886476,
6208,푸르니작은어린이집,1165010801,127.0211995,37.48821043,602.3489771,
6209,푸르니서초어린이집,1165010801,127.0237949,37.4874097,368.4823828,
6210,서초아이자람어린이집,1165010801,127.0222237,37.48900777,592.5374325,
6211,자연의아이들어린이집,1165010801,127.0271257,37.4865758,168.7194319,
6212,서초구청어린이집,1165010801,127.0313912,37.48640351,434.2316175,
6255,성촌어린이집,1165010308,127.0206325,37.46717936,629.9107881,
6259,푸르니작은어린이집,1165010843,127.0211995,37.48821043,497.4849137,
6260,푸르니서초어린이집,1165010843,127.0237949,37.4874097,387.7322742,
6261,서초아이자람어린이집,1165010843,127.0222237,37.48900777,377.1025566,
6262,자연의아이들어린이집,1165010843,127.0271257,37.4865758,429.5451821,
6263,서초구청어린이집,1165010843,127.0313912,37.48640351,639.7429789,
6273,서초장미어린이집,1165010813,127.0284303,37.48418339,584.766971,
6274,푸르니작은어린이집,1165010813,127.0211995,37.48821043,432.5328171,
6275,푸르니서초어린이집,1165010813,127.0237949,37.4874097,266.7432405,
6276,서초아이자람어린이집,1165010813,127.0222237,37.48900777,331.2777509,
6277,락앤락샛별어린이집,1165010813,127.0183524,37.48766705,691.3429252,
6278,자연의아이들어린이집,1165010813,127.0271257,37.4865758,295.6026139,
6279,서초구청어린이집,1165010813,127.0313912,37.48640351,563.5690038,
6280,서초아이자람어린이집,1165010815,127.0222237,37.48900777,679.7709369,
6286,햇살담는어린이집,1165010313,127.0245798,37.47243223,157.7465585,
6287,성촌어린이집,1165010313,127.0206325,37.46717936,661.3111498,
6288,함께크는어린이집,1165010313,127.0267229,37.47333318,223.2592081,
6317,푸르니작은어린이집,1165010809,127.0211995,37.48821043,616.9630548,
6318,푸르니서초어린이집,1165010809,127.0237949,37.4874097,607.5141972,
6319,서초아이자람어린이집,1165010809,127.0222237,37.48900777,493.1720523,
6320,서초장미어린이집,1165010804,127.0284303,37.48418339,389.9374357,
6321,푸르니작은어린이집,1165010804,127.0211995,37.48821043,396.2635689,
6322,푸르니서초어린이집,1165010804,127.0237949,37.4874097,154.4472186,
6323,서초아이자람어린이집,1165010804,127.0222237,37.48900777,377.0884535,
6324,락앤락샛별어린이집,1165010804,127.0183524,37.48766705,615.0549577,
6325,자연의아이들어린이집,1165010804,127.0271257,37.4865758,173.2822282,
6326,서초구청어린이집,1165010804,127.0313912,37.48640351,550.5869584,
6330,시립원주암어린이집,1165010303,127.0322077,37.45704033,669.3699645,
6331,LG전자서초어린이집,1165010303,127.0294575,37.45383858,690.8446803,
